"Sample Number","Language","Time","Number of Recursive Calls","Number of Transitions","Number of Compares"
455,java 1.8.0_25,00.432,364,1623,3938
456,java 1.8.0_25,00.427,364,1647,3950
457,java 1.8.0_25,00.462,364,1621,3956
458,java 1.8.0_25,00.457,364,1625,3967
459,java 1.8.0_25,00.471,364,1629,3945
460,java 1.8.0_25,00.435,364,1624,3969
461,java 1.8.0_25,00.479,364,1655,3988
462,java 1.8.0_25,00.493,364,1627,3994
463,java 1.8.0_25,00.530,364,1675,3999
464,java 1.8.0_25,00.506,364,1638,4018
465,java 1.8.0_25,00.652,364,1674,4023
466,java 1.8.0_25,01.153,364,1673,4026
467,java 1.8.0_25,00.777,364,1654,4039
468,java 1.8.0_25,00.841,364,1660,4043
469,java 1.8.0_25,00.771,364,1689,4060
470,java 1.8.0_25,00.863,364,1680,4046
471,java 1.8.0_25,00.944,364,1670,4060
472,java 1.8.0_25,00.882,364,1662,4076
473,java 1.8.0_25,00.753,364,1696,4079
474,java 1.8.0_25,00.924,364,1691,4091
475,java 1.8.0_25,01.759,364,1744,4091
476,java 1.8.0_25,02.265,364,1726,4092
477,java 1.8.0_25,01.635,364,1696,4127
478,java 1.8.0_25,01.214,364,1703,4116
479,java 1.8.0_25,00.747,364,1725,4122
480,java 1.8.0_25,00.788,364,1700,4135
481,java 1.8.0_25,00.764,364,1762,4144
482,java 1.8.0_25,01.255,364,1712,4151
483,java 1.8.0_25,01.175,364,1718,4152
484,java 1.8.0_25,01.586,364,1727,4143
485,java 1.8.0_25,01.222,364,1752,4167
486,java 1.8.0_25,00.909,364,1779,4174
487,java 1.8.0_25,01.235,367,1762,4187
488,java 1.8.0_25,00.845,370,1743,4191
489,java 1.8.0_25,00.864,373,1795,4221
490,java 1.8.0_25,00.795,376,1746,4242
491,java 1.8.0_25,00.661,379,1717,4246
492,java 1.8.0_25,00.604,382,1805,4261
493,java 1.8.0_25,00.534,385,1803,4272
494,java 1.8.0_25,00.490,388,1798,4298
495,java 1.8.0_25,00.420,391,1780,4290
496,java 1.8.0_25,00.443,394,1812,4309
497,java 1.8.0_25,00.460,397,1790,4334
498,java 1.8.0_25,00.419,400,1748,4322
499,java 1.8.0_25,00.443,403,1829,4359
500,java 1.8.0_25,00.432,406,1780,4366
501,java 1.8.0_25,00.477,409,1856,4382
502,java 1.8.0_25,00.490,412,1826,4400
503,java 1.8.0_25,00.508,415,1843,4421
504,java 1.8.0_25,00.687,418,1852,4411
505,java 1.8.0_25,00.913,421,1873,4434
506,java 1.8.0_25,00.635,424,1912,4443
507,java 1.8.0_25,00.494,427,1884,4457
508,java 1.8.0_25,00.475,430,1940,4473
509,java 1.8.0_25,00.460,433,1888,4479
510,java 1.8.0_25,00.403,436,1860,4501
511,java 1.8.0_25,00.415,439,1886,4515
512,java 1.8.0_25,00.515,442,1891,4517
513,java 1.8.0_25,00.455,445,1910,4538
514,java 1.8.0_25,00.440,448,1887,4564
515,java 1.8.0_25,00.432,451,1883,4551
516,java 1.8.0_25,00.472,454,1924,4584
517,java 1.8.0_25,00.420,457,1891,4597
518,java 1.8.0_25,00.403,460,1960,4597
519,java 1.8.0_25,00.395,463,1925,4615
520,java 1.8.0_25,00.418,466,1941,4635
521,java 1.8.0_25,00.667,469,1956,4642
522,java 1.8.0_25,01.103,472,1963,4656
523,java 1.8.0_25,00.859,475,2004,4673
524,java 1.8.0_25,00.495,478,1997,4689
525,java 1.8.0_25,00.494,481,1982,4710
526,java 1.8.0_25,00.498,484,2020,4721
527,java 1.8.0_25,00.540,487,2016,4738
528,java 1.8.0_25,00.487,490,2012,4756
529,java 1.8.0_25,00.447,493,2004,4745
530,java 1.8.0_25,00.439,496,1990,4776
531,java 1.8.0_25,00.479,499,2022,4780
532,java 1.8.0_25,00.419,502,2011,4803
533,java 1.8.0_25,00.438,505,2010,4805
534,java 1.8.0_25,00.446,508,2034,4827
535,java 1.8.0_25,00.409,511,2037,4835
536,java 1.8.0_25,00.453,514,2054,4839
537,java 1.8.0_25,00.425,517,2093,4867
538,java 1.8.0_25,00.395,520,2060,4885
539,java 1.8.0_25,00.436,523,2064,4891
540,java 1.8.0_25,00.436,526,2101,4899
541,java 1.8.0_25,00.430,529,2057,4902
542,java 1.8.0_25,00.423,532,2093,4930
543,java 1.8.0_25,00.601,535,2108,4933
544,java 1.8.0_25,00.672,538,2149,4946
545,java 1.8.0_25,00.495,541,2089,4963
546,java 1.8.0_25,00.514,544,2089,4977
547,java 1.8.0_25,00.473,547,2154,4998
548,java 1.8.0_25,00.430,550,2115,4995
549,java 1.8.0_25,00.438,553,2128,5026
550,java 1.8.0_25,00.448,556,2195,5025
551,java 1.8.0_25,00.427,559,2146,5045
552,java 1.8.0_25,00.414,562,2146,5065
553,java 1.8.0_25,00.408,565,2174,5056
554,java 1.8.0_25,00.512,568,2199,5084
555,java 1.8.0_25,00.433,571,2169,5091
556,java 1.8.0_25,00.431,574,2168,5109
557,java 1.8.0_25,00.504,577,2168,5112
558,java 1.8.0_25,00.424,580,2212,5133
559,java 1.8.0_25,00.424,583,2213,5139
560,java 1.8.0_25,00.482,586,2163,5157
561,java 1.8.0_25,00.416,589,2190,5166
562,java 1.8.0_25,00.458,592,2243,5192
563,java 1.8.0_25,00.423,595,2202,5207
564,java 1.8.0_25,00.449,598,2244,5214
565,java 1.8.0_25,00.433,601,2211,5219
566,java 1.8.0_25,00.431,604,2253,5237
567,java 1.8.0_25,00.486,607,2248,5237
568,java 1.8.0_25,00.510,610,2220,5257
569,java 1.8.0_25,00.483,613,2271,5262
570,java 1.8.0_25,00.618,616,2242,5276
571,java 1.8.0_25,00.606,619,2269,5301
572,java 1.8.0_25,00.918,622,2273,5299
573,java 1.8.0_25,00.803,625,2266,5326
574,java 1.8.0_25,00.583,628,2274,5343
575,java 1.8.0_25,00.455,631,2271,5351
576,java 1.8.0_25,00.458,634,2280,5370
577,java 1.8.0_25,00.458,637,2300,5382
578,java 1.8.0_25,00.428,640,2276,5379
579,java 1.8.0_25,00.438,643,2329,5408
580,java 1.8.0_25,00.537,646,2298,5413
581,java 1.8.0_25,00.447,649,2351,5438
582,java 1.8.0_25,00.659,652,2330,5447
583,java 1.8.0_25,00.629,655,2326,5463
584,java 1.8.0_25,00.679,658,2349,5481
585,java 1.8.0_25,00.837,661,2370,5482
586,java 1.8.0_25,00.918,664,2374,5494
587,java 1.8.0_25,00.849,667,2372,5520
588,java 1.8.0_25,00.883,670,2370,5523
589,java 1.8.0_25,00.812,673,2359,5545
590,java 1.8.0_25,00.737,676,2401,5554
591,java 1.8.0_25,00.857,679,2355,5562
592,java 1.8.0_25,00.654,682,2399,5574
593,java 1.8.0_25,00.628,685,2480,5583
